Num	Sample	Cell_Subtype	Cell_Type
356	PT039_P1_A02	macrophage	Immune
357	PT039_P1_A03	epithelial	Epithelial
358	PT039_P1_A04	epithelial	Epithelial
359	PT039_P1_A05	epithelial	Epithelial
360	PT039_P1_A06	stroma	Stroma
361	PT039_P1_A07	stroma	Stroma
362	PT039_P1_A08	epithelial	Epithelial
363	PT039_P1_A09	macrophage	Immune
364	PT039_P1_A10	macrophage	Immune
365	PT039_P1_A11	stroma	Stroma
366	PT039_P1_A12	macrophage	Immune
367	PT039_P1_B01	stroma	Stroma
368	PT039_P1_B02	epithelial	Epithelial
369	PT039_P1_B03	macrophage	Immune
370	PT039_P1_B04	epithelial	Epithelial
371	PT039_P1_B05	epithelial	Epithelial
372	PT039_P1_B06	epithelial	Epithelial
373	PT039_P1_B09	epithelial	Epithelial
374	PT039_P1_B10	macrophage	Immune
375	PT039_P1_B11	epithelial	Epithelial
376	PT039_P1_B12	epithelial	Epithelial
377	PT039_P1_C01	epithelial	Epithelial
378	PT039_P1_C02	epithelial	Epithelial
379	PT039_P1_C03	epithelial	Epithelial
380	PT039_P1_C04	epithelial	Epithelial
381	PT039_P1_C05	macrophage	Immune
382	PT039_P1_C06	epithelial	Epithelial
383	PT039_P1_C07	macrophage	Immune
384	PT039_P1_C08	epithelial	Epithelial
385	PT039_P1_C09	epithelial	Epithelial
386	PT039_P1_C10	epithelial	Epithelial
387	PT039_P1_C11	epithelial	Epithelial
388	PT039_P1_C12	epithelial	Epithelial
389	PT039_P1_D01	epithelial	Epithelial
390	PT039_P1_D02	epithelial	Epithelial
391	PT039_P1_D03	epithelial	Epithelial
392	PT039_P1_D04	epithelial	Epithelial
393	PT039_P1_D05	epithelial	Epithelial
394	PT039_P1_D06	epithelial	Epithelial
395	PT039_P1_D07	macrophage	Immune
396	PT039_P1_D08	macrophage	Immune
397	PT039_P1_D09	macrophage	Immune
398	PT039_P1_D10	epithelial	Epithelial
399	PT039_P1_D11	Bcell	Immune
400	PT039_P1_D12	epithelial	Epithelial
401	PT039_P1_E01	stroma	Stroma
402	PT039_P1_E02	epithelial	Epithelial
403	PT039_P1_E03	epithelial	Epithelial
404	PT039_P1_E04	stroma	Stroma
405	PT039_P1_E05	stroma	Stroma
406	PT039_P1_E06	epithelial	Epithelial
407	PT039_P1_E07	epithelial	Epithelial
408	PT039_P1_E08	epithelial	Epithelial
409	PT039_P1_E09	epithelial	Epithelial
410	PT039_P1_E10	epithelial	Epithelial
411	PT039_P1_E11	epithelial	Epithelial
412	PT039_P1_F01	epithelial	Epithelial
413	PT039_P1_F02	epithelial	Epithelial
414	PT039_P1_F03	epithelial	Epithelial
415	PT039_P1_F04	epithelial	Epithelial
416	PT039_P1_F05	epithelial	Epithelial
417	PT039_P1_F06	epithelial	Epithelial
418	PT039_P1_F07	epithelial	Epithelial
419	PT039_P1_F08	epithelial	Epithelial
420	PT039_P1_F09	macrophage	Immune
421	PT039_P1_F10	epithelial	Epithelial
422	PT058_P1_A01	Tcell	Immune
423	PT058_P1_A02	Tcell	Immune
424	PT058_P1_A05	epithelial	Epithelial
425	PT058_P1_A06	Bcell	Immune
426	PT058_P1_A07	epithelial	Epithelial
427	PT058_P1_A08	epithelial	Epithelial
428	PT058_P1_A10	epithelial	Epithelial
429	PT058_P1_A11	Tcell	Immune
430	PT058_P1_A12	epithelial	Epithelial
431	PT058_P1_B02	epithelial	Epithelial
432	PT058_P1_B03	epithelial	Epithelial
433	PT058_P1_B04	epithelial	Epithelial
434	PT058_P1_B06	Tcell	Immune
435	PT058_P1_B08	macrophage	Immune
436	PT058_P1_B11	epithelial	Epithelial
437	PT058_P1_C01	stroma	Stroma
438	PT058_P1_C02	stroma	Stroma
439	PT058_P1_C06	Tcell	Immune
440	PT058_P1_C07	epithelial	Epithelial
441	PT058_P1_C08	epithelial	Epithelial
442	PT058_P1_C09	Tcell	Immune
443	PT058_P1_C10	epithelial	Epithelial
444	PT058_P1_C12	epithelial	Epithelial
445	PT058_P1_D04	epithelial	Epithelial
446	PT058_P1_D05	Tcell	Immune
447	PT058_P1_D06	epithelial	Epithelial
448	PT058_P1_D07	epithelial	Epithelial
449	PT058_P1_D09	epithelial	Epithelial
450	PT058_P1_D11	epithelial	Epithelial
451	PT058_P1_E01	epithelial	Epithelial
452	PT058_P1_E03	epithelial	Epithelial
453	PT058_P1_E04	macrophage	Immune
454	PT058_P1_E05	Tcell	Immune
455	PT058_P1_E06	epithelial	Epithelial
456	PT058_P1_E07	Tcell	Immune
457	PT058_P1_E08	epithelial	Epithelial
458	PT058_P1_E09	Bcell	Immune
459	PT058_P1_E11	macrophage	Immune
460	PT058_P1_E12	Tcell	Immune
461	PT058_P1_F01	Tcell	Immune
462	PT058_P1_F02	Bcell	Immune
463	PT058_P1_F07	Bcell	Immune
464	PT058_P1_F08	epithelial	Epithelial
465	PT058_P1_F09	epithelial	Epithelial
466	PT058_P1_F10	epithelial	Epithelial
467	PT058_P1_F12	epithelial	Epithelial
468	PT058_P1_G01	Bcell	Immune
469	PT058_P1_G02	stroma	Stroma
470	PT058_P1_G03	Tcell	Immune
471	PT058_P1_G04	epithelial	Epithelial
472	PT058_P1_G05	epithelial	Epithelial
473	PT058_P1_G07	Tcell	Immune
474	PT058_P1_G08	epithelial	Epithelial
475	PT058_P1_G10	stroma	Stroma
476	PT058_P1_G11	epithelial	Epithelial
477	PT058_P1_H02	Tcell	Immune
478	PT058_P1_H03	Tcell	Immune
479	PT058_P1_H04	Tcell	Immune
480	PT058_P1_H05	Tcell	Immune
481	PT058_P1_H06	epithelial	Epithelial
482	PT058_P1_H07	epithelial	Epithelial
483	PT058_P1_H08	epithelial	Epithelial
484	PT058_P1_H12	Tcell	Immune
485	PT081_P1_A01	epithelial	Epithelial
486	PT081_P1_A02	epithelial	Epithelial
487	PT081_P1_A03	epithelial	Epithelial
488	PT081_P1_A05	epithelial	Epithelial
489	PT081_P1_A06	epithelial	Epithelial
490	PT081_P1_A07	epithelial	Epithelial
491	PT081_P1_A08	epithelial	Epithelial
492	PT081_P1_A09	epithelial	Epithelial
493	PT081_P1_A10	epithelial	Epithelial
494	PT081_P1_A12	epithelial	Epithelial
495	PT081_P1_B01	epithelial	Epithelial
496	PT081_P1_B02	epithelial	Epithelial
497	PT081_P1_B03	epithelial	Epithelial
498	PT081_P1_B04	epithelial	Epithelial
499	PT081_P1_B05	stroma	Stroma
500	PT081_P1_B06	epithelial	Epithelial
501	PT081_P1_B07	epithelial	Epithelial
502	PT081_P1_B08	epithelial	Epithelial
503	PT081_P1_B10	epithelial	Epithelial
504	PT081_P1_B11	epithelial	Epithelial
505	PT081_P1_B12	epithelial	Epithelial
506	PT081_P1_C01	epithelial	Epithelial
507	PT081_P1_C02	epithelial	Epithelial
508	PT081_P1_C03	epithelial	Epithelial
509	PT081_P1_C04	epithelial	Epithelial
510	PT081_P1_C05	epithelial	Epithelial
511	PT081_P1_C06	epithelial	Epithelial
512	PT081_P1_C07	epithelial	Epithelial
513	PT081_P1_C08	epithelial	Epithelial
514	PT081_P1_C09	epithelial	Epithelial
515	PT081_P1_C11	epithelial	Epithelial
516	PT081_P1_C12	epithelial	Epithelial
517	PT081_P1_D01	epithelial	Epithelial
518	PT081_P1_D02	epithelial	Epithelial
519	PT081_P1_D03	epithelial	Epithelial
520	PT081_P1_D04	epithelial	Epithelial
521	PT081_P1_D05	epithelial	Epithelial
522	PT081_P1_D06	epithelial	Epithelial
523	PT081_P1_D07	epithelial	Epithelial
524	PT081_P1_D08	epithelial	Epithelial
525	PT081_P1_D09	epithelial	Epithelial
526	PT081_P1_D10	epithelial	Epithelial
527	PT081_P1_D12	epithelial	Epithelial
528	PT081_P1_E01	epithelial	Epithelial
529	PT081_P1_E02	epithelial	Epithelial
530	PT081_P1_E03	epithelial	Epithelial
531	PT081_P1_E04	epithelial	Epithelial
532	PT081_P1_E05	epithelial	Epithelial
533	PT081_P1_E06	epithelial	Epithelial
534	PT081_P1_E07	epithelial	Epithelial
535	PT081_P1_E09	epithelial	Epithelial
536	PT081_P1_E10	epithelial	Epithelial
537	PT081_P1_E11	epithelial	Epithelial
